fileName,startTime,endTime,userID,cView,labelClass
Dashboard_User_id_24026_NoAudio_3.24026.41.59.MP4,41,59,24026,1,9
Dashboard_User_id_24026_NoAudio_4.24026.56.74.MP4,56,74,24026,1,9
Dashboard_user_id_35133_NoAudio_0.35133.247.270.MP4,247,270,35133,1,9
Dashboard_user_id_35133_NoAudio_2.35133.183.207.MP4,183,207,35133,1,9
Dashboard_User_id_38058_NoAudio_0.38508.107.129.MP4,107,129,38508,1,9
Dashboard_User_id_38058_NoAudio_1.38508.110.132.MP4,110,132,38508,1,9
Dashboard_user_id_49381_NoAudio_0.49381.358.382.MP4,358,382,49381,1,9
Dashboard_user_id_49381_NoAudio_1.49381.367.391.MP4,367,391,49381,1,9
Dashboard_user_id_24491_NoAudio_0.24491.391.422.MP4,391,422,24491,1,9
Dashboard_user_id_24491_NoAudio_1.24491.285.289.MP4,285,289,24491,1,9
Dashboard_user_id_35133_NoAudio_0.35133.247.270.MP4,247,270,35133,1,9
Dashboard_user_id_35133_NoAudio_2.35133.183.207.MP4,183,207,35133,1,9
Dashboard_User_id_38058_NoAudio_0.38508.107.129.MP4,107,129,38508,1,9
Dashboard_User_id_38058_NoAudio_1.38508.110.132.MP4,110,132,38508,1,9
Dashboard_user_id_49381_NoAudio_0.49381.358.382.MP4,358,382,49381,1,9
Dashboard_user_id_49381_NoAudio_1.49381.367.391.MP4,367,391,49381,1,9
Dashboard_user_id_24491_NoAudio_0.24491.391.422.MP4,391,422,24491,1,9
Dashboard_user_id_24491_NoAudio_1.24491.285.289.MP4,285,289,24491,1,9
Dashboard_User_id_24026_NoAudio_3.24026.41.59.MP4,41,59,24026,1,9
Dashboard_User_id_24026_NoAudio_4.24026.56.74.MP4,56,74,24026,1,9
Dashboard_User_id_38058_NoAudio_0.38508.107.129.MP4,107,129,38508,1,9
Dashboard_User_id_38058_NoAudio_1.38508.110.132.MP4,110,132,38508,1,9
Dashboard_user_id_49381_NoAudio_0.49381.358.382.MP4,358,382,49381,1,9
Dashboard_user_id_49381_NoAudio_1.49381.367.391.MP4,367,391,49381,1,9
Dashboard_user_id_24491_NoAudio_0.24491.391.422.MP4,391,422,24491,1,9
Dashboard_user_id_24491_NoAudio_1.24491.285.289.MP4,285,289,24491,1,9
Dashboard_User_id_24026_NoAudio_3.24026.41.59.MP4,41,59,24026,1,9
Dashboard_User_id_24026_NoAudio_4.24026.56.74.MP4,56,74,24026,1,9
Dashboard_user_id_35133_NoAudio_0.35133.247.270.MP4,247,270,35133,1,9
Dashboard_user_id_35133_NoAudio_2.35133.183.207.MP4,183,207,35133,1,9
Dashboard_user_id_49381_NoAudio_0.49381.358.382.MP4,358,382,49381,1,9
Dashboard_user_id_49381_NoAudio_1.49381.367.391.MP4,367,391,49381,1,9
Dashboard_user_id_24491_NoAudio_0.24491.391.422.MP4,391,422,24491,1,9
Dashboard_user_id_24491_NoAudio_1.24491.285.289.MP4,285,289,24491,1,9
Dashboard_User_id_24026_NoAudio_3.24026.41.59.MP4,41,59,24026,1,9
Dashboard_User_id_24026_NoAudio_4.24026.56.74.MP4,56,74,24026,1,9
Dashboard_user_id_35133_NoAudio_0.35133.247.270.MP4,247,270,35133,1,9
Dashboard_user_id_35133_NoAudio_2.35133.183.207.MP4,183,207,35133,1,9
Dashboard_User_id_38058_NoAudio_0.38508.107.129.MP4,107,129,38508,1,9
Dashboard_User_id_38058_NoAudio_1.38508.110.132.MP4,110,132,38508,1,9
